record_id,material_id,pipeline,question_stage,question_type,pass_a_accepted,pass_b_accepted,overall_accepted,source_grounded,answerable,clear,ambiguous,fair_difficulty,within_pipeline_duplicate,language_quality,answer_or_key_correct,answer_or_key_grounded,explanation_usefulness,primary_failures
baseline-question:VOC-MIX-IMG-01:q2,VOC-MIX-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,4,none
baseline-question:VOC-MIX-IMG-01:q3,VOC-MIX-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:VOC-MIX-IMG-01:q4,VOC-MIX-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
baseline-question:VOC-MIX-IMG-01:q5,VOC-MIX-IMG-01,one_prompt_baseline,baseline,open_answer,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
question:assessment:CIV-MIX-PDF-01:r1:q1,CIV-MIX-PDF-01,ankur_structured,original_assessment,single_mcq,reject,reject,reject,no,no,no,yes,no,no,2,yes,no,2,not_source_grounded;not_answerable;unclear;ambiguous;unfair_difficulty;language_quality_below_4;answer_or_key_ungrounded;explanation_usefulness_below_4
question:assessment:CIV-MIX-PDF-01:r1:q2,CIV-MIX-PDF-01,ankur_structured,original_assessment,short_written,reject,reject,reject,yes,yes,yes,no,yes,yes,5,no,no,2,within_pipeline_duplicate;answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
question:assessment:CIV-MIX-PDF-01:r2:q1,CIV-MIX-PDF-01,ankur_structured,original_assessment,single_mcq,reject,reject,reject,no,no,no,yes,no,no,2,no,no,1,not_source_grounded;not_answerable;unclear;ambiguous;unfair_difficulty;language_quality_below_4;answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
question:assessment:CIV-MIX-PDF-01:r2:q2,CIV-MIX-PDF-01,ankur_structured,original_assessment,short_written,reject,reject,reject,yes,yes,yes,no,yes,yes,4,no,no,3,within_pipeline_duplicate;answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
question:assessment:SCI-BN-PASTE-01:r1:q1,SCI-BN-PASTE-01,ankur_structured,original_assessment,single_mcq,reject,accept,reject,yes,yes,yes,no,yes,yes,3,yes,yes,5,within_pipeline_duplicate;language_quality_below_4
question:assessment:SCI-BN-PASTE-01:r1:q2,SCI-BN-PASTE-01,ankur_structured,original_assessment,short_written,reject,reject,reject,yes,yes,yes,no,yes,yes,5,no,yes,4,within_pipeline_duplicate;answer_or_key_incorrect
question:assessment:SCI-BN-PASTE-01:r2:q1,SCI-BN-PASTE-01,ankur_structured,original_assessment,single_mcq,reject,accept,reject,yes,yes,no,yes,no,yes,2,yes,yes,4,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4
question:assessment:SCI-BN-PASTE-01:r2:q2,SCI-BN-PASTE-01,ankur_structured,original_assessment,short_written,reject,reject,reject,yes,yes,yes,no,yes,yes,5,no,yes,4,within_pipeline_duplicate;answer_or_key_incorrect
question:assessment:SCI-BN-PASTE-01:r3:q1,SCI-BN-PASTE-01,ankur_structured,original_assessment,single_mcq,reject,reject,reject,yes,yes,no,yes,no,yes,2,no,yes,4,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4;answer_or_key_incorrect
question:assessment:SCI-BN-PASTE-01:r3:q2,SCI-BN-PASTE-01,ankur_structured,original_assessment,short_written,reject,accept,reject,yes,yes,yes,no,yes,yes,5,yes,yes,5,within_pipeline_duplicate
question:assessment:SCI-EN-PDF-01:r1:q1,SCI-EN-PDF-01,ankur_structured,original_assessment,single_mcq,reject,accept,reject,yes,yes,no,yes,no,yes,1,yes,yes,4,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4
question:assessment:SCI-EN-PDF-01:r1:q2,SCI-EN-PDF-01,ankur_structured,original_assessment,short_written,accept,reject,reject,yes,yes,yes,no,yes,no,5,no,no,2,answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
question:assessment:SCI-EN-PDF-01:r2:q1,SCI-EN-PDF-01,ankur_structured,original_assessment,single_mcq,reject,accept,reject,yes,yes,no,yes,no,yes,2,yes,yes,3,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4;explanation_usefulness_below_4
question:assessment:SCI-EN-PDF-01:r2:q2,SCI-EN-PDF-01,ankur_structured,original_assessment,short_written,reject,reject,reject,yes,yes,yes,no,yes,yes,4,no,no,4,within_pipeline_duplicate;answer_or_key_incorrect;answer_or_key_ungrounded
question:assessment:SCI-EN-PDF-01:r3:q1,SCI-EN-PDF-01,ankur_structured,original_assessment,single_mcq,reject,accept,reject,yes,yes,no,yes,no,yes,2,yes,yes,5,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4
question:assessment:SCI-EN-PDF-01:r3:q2,SCI-EN-PDF-01,ankur_structured,original_assessment,short_written,reject,reject,reject,yes,yes,yes,no,yes,yes,3,no,no,2,within_pipeline_duplicate;language_quality_below_4;answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
question:assessment:VOC-EN-PASTE-01:r2:q1,VOC-EN-PASTE-01,ankur_structured,original_assessment,single_mcq,accept,accept,accept,yes,yes,yes,no,yes,no,5,yes,yes,5,none
question:assessment:VOC-EN-PASTE-01:r2:q2,VOC-EN-PASTE-01,ankur_structured,original_assessment,short_written,accept,reject,reject,yes,yes,yes,no,yes,no,5,no,no,4,answer_or_key_incorrect;answer_or_key_ungrounded
question:assessment:VOC-MIX-IMG-01:r1:q1,VOC-MIX-IMG-01,ankur_structured,original_assessment,single_mcq,reject,reject,reject,yes,yes,no,yes,no,yes,2,no,yes,4,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4;answer_or_key_incorrect
question:assessment:VOC-MIX-IMG-01:r1:q2,VOC-MIX-IMG-01,ankur_structured,original_assessment,short_written,accept,reject,reject,yes,yes,yes,no,yes,no,5,no,no,4,answer_or_key_incorrect;answer_or_key_ungrounded
question:assessment:VOC-MIX-IMG-01:r2:q1,VOC-MIX-IMG-01,ankur_structured,original_assessment,single_mcq,reject,reject,reject,yes,yes,no,yes,no,yes,3,no,yes,4,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4;answer_or_key_incorrect
question:assessment:VOC-MIX-IMG-01:r2:q2,VOC-MIX-IMG-01,ankur_structured,original_assessment,short_written,accept,reject,reject,yes,yes,yes,no,yes,no,5,no,no,4,answer_or_key_incorrect;answer_or_key_ungrounded
question:revision:SCI-BN-PASTE-01:q1,SCI-BN-PASTE-01,ankur_structured,adaptive_retry,single_mcq,reject,accept,reject,yes,yes,no,yes,no,no,1,yes,yes,5,unclear;ambiguous;unfair_difficulty;language_quality_below_4
question:revision:SCI-BN-PASTE-01:q2,SCI-BN-PASTE-01,ankur_structured,adaptive_retry,short_written,reject,reject,reject,yes,yes,yes,no,yes,yes,5,no,yes,2,within_pipeline_duplicate;answer_or_key_incorrect;explanation_usefulness_below_4
question:revision:SCI-EN-PDF-01:q1,SCI-EN-PDF-01,ankur_structured,adaptive_retry,single_mcq,reject,accept,reject,yes,yes,no,yes,no,no,2,yes,yes,4,unclear;ambiguous;unfair_difficulty;language_quality_below_4
question:revision:SCI-EN-PDF-01:q2,SCI-EN-PDF-01,ankur_structured,adaptive_retry,short_written,reject,reject,reject,yes,yes,no,yes,no,yes,2,no,no,2,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4;answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
question:revision:VOC-EN-PASTE-01:q1,VOC-EN-PASTE-01,ankur_structured,adaptive_retry,single_mcq,reject,reject,reject,no,no,yes,no,no,no,4,no,no,1,not_source_grounded;not_answerable;unfair_difficulty;answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
question:revision:VOC-EN-PASTE-01:q2,VOC-EN-PASTE-01,ankur_structured,adaptive_retry,short_written,accept,reject,reject,yes,yes,yes,no,yes,no,3,no,no,2,language_quality_below_4;answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
question:revision:VOC-MIX-IMG-01:q1,VOC-MIX-IMG-01,ankur_structured,adaptive_retry,single_mcq,reject,accept,reject,yes,yes,no,yes,no,yes,1,yes,yes,4,unclear;ambiguous;unfair_difficulty;within_pipeline_duplicate;language_quality_below_4
question:revision:VOC-MIX-IMG-01:q2,VOC-MIX-IMG-01,ankur_structured,adaptive_retry,short_written,accept,reject,reject,yes,yes,yes,no,yes,no,4,no,no,2,answer_or_key_incorrect;answer_or_key_ungrounded;explanation_usefulness_below_4
